variant,trace_id,metric_name,n,mean,median,std,min,max,iqr
B,019ffc81bec15ce2cc74b559496dbf3e,answer_relevancy_deepeval,6,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,claim_count_contradicted,1,0.0,0.0,,0.0,0.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,claim_count_covered,1,0.0,0.0,,0.0,0.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,claim_count_partial,1,3.0,3.0,,3.0,3.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,claim_count_total,1,7.0,7.0,,7.0,7.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,claim_coverage,1,0.2142857142857142,0.2142857142857142,,0.2142857142857142,0.2142857142857142,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,contextual_precision_deepeval,6,0.09157509157509151,0.1098901098901098,0.04486244950152338,0.0,0.1098901098901098,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,contextual_recall_deepeval,6,0.0,0.0,0.0,0.0,0.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,contextual_relevancy_deepeval,6,0.331012648858491,0.34025641025641024,0.047314272378283645,0.2535211267605634,0.3766233766233766,0.058102388479100764
B,019ffc81bec15ce2cc74b559496dbf3e,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,eti_quality_score,6,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,eti_relevance,6,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,eti_variability,6,1.0,1.0,0.0,1.0,1.0,0.0
B,019ffc81bec15ce2cc74b559496dbf3e,faithfulness_ragas,4,0.8571428571428571,0.8928571428571428,0.15430334996209188,0.6428571428571429,1.0,0.1428571428571428
B,019ffc81bec15ce2cc74b559496dbf3e,hallucination_deepeval,6,0.061887254901960786,0.0625,0.0015009128325877356,0.0588235294117647,0.0625,0.0
B,0f412e21778ac3b3e4de14a81de472e1,answer_relevancy_deepeval,6,1.0,1.0,0.0,1.0,1.0,0.0
B,0f412e21778ac3b3e4de14a81de472e1,claim_count_contradicted,1,0.0,0.0,,0.0,0.0,0.0
B,0f412e21778ac3b3e4de14a81de472e1,claim_count_covered,1,0.0,0.0,,0.0,0.0,0.0
B,0f412e21778ac3b3e4de14a81de472e1,claim_count_partial,1,1.0,1.0,,1.0,1.0,0.0
B,0f412e21778ac3b3e4de14a81de472e1,claim_count_total,1,8.0,8.0,,8.0,8.0,0.0
B,0f412e21778ac3b3e4de14a81de472e1,claim_coverage,1,0.0625,0.0625,,0.0625,0.0625,0.0
B,0f412e21778ac3b3e4de14a81de472e1,contextual_precision_deepeval,6,0.0,0.0,0.0,0.0,0.0,0.0
