metric,variant,n_items,median_of_per_item_means,median_of_per_item_std,median_of_per_item_iqr,median_cv
answer_relevancy_deepeval,B,40,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,C,40,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,M,40,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,P,40,1.0,0.0,0.0,0.0
claim_count_contradicted,C,40,0.0,0.0,0.0,0.4564354645876384
claim_count_covered,C,40,3.0,0.0,0.0,0.0
claim_count_partial,C,40,3.0,0.0,0.0,0.0
claim_count_total,C,40,7.8,0.0,0.0,0.0
claim_coverage,C,40,0.6666666666666666,0.0,0.0,0.0
contextual_precision_deepeval,B,40,0.7822233815587579,0.02503134628245776,0.00884497602611356,0.029839507512326877
contextual_precision_deepeval,C,40,0.7903031785902204,0.01902120393514112,0.016643018693485112,0.030966391185923627
contextual_precision_deepeval,M,40,0.6154768182683251,0.03580321638186515,0.01734733310778211,0.05586055562351997
contextual_precision_deepeval,P,40,0.7759620078613829,0.017094643966412124,0.008266105620353237,0.03338564754582855
contextual_recall_deepeval,B,40,0.9309343434343434,0.0,0.0,0.01916297144204314
contextual_recall_deepeval,C,40,0.9492063492063492,0.0,0.0,0.006168046818751904
contextual_recall_deepeval,M,40,0.5688378288378289,0.04653764571801608,0.014087301587301565,0.10097998436545538
contextual_recall_deepeval,P,40,0.9441666666666666,0.0,0.0,0.02388575954023986
contextual_relevancy_deepeval,B,40,0.7383596850883047,0.012517596569173433,0.013851396371294955,0.016706398314641366
contextual_relevancy_deepeval,C,40,0.7446873435751403,0.010080949378436344,0.01102036102036108,0.017442873110178073
contextual_relevancy_deepeval,M,23,0.5233460922507036,0.0359069070210378,0.022132783306323067,0.059133368811364724
contextual_relevancy_deepeval,P,40,0.7367905294217938,0.011476883643217042,0.011988421189977172,0.01763701356968006
custom_faithfulness,P,40,0.75,0.0,0.0,0.0
eti_clarity,B,40,1.0,0.0,0.0,0.0
eti_clarity,C,40,1.0,0.0,0.0,0.0
eti_clarity,M,40,1.0,0.0,0.0,0.0
eti_clarity,P,40,1.0,0.0,0.0,0.0
eti_empathy,B,40,1.0,0.0,0.0,0.0
eti_empathy,C,40,1.0,0.0,0.0,0.0
eti_empathy,M,40,1.0,0.0,0.0,0.0
eti_empathy,P,40,1.0,0.0,0.0,0.0
eti_quality_assessment,B,40,0.0,0.0,0.0,
eti_quality_assessment,C,40,0.0,0.0,0.0,
eti_quality_assessment,M,40,0.0,0.0,0.0,
eti_quality_assessment,P,40,0.0,0.0,0.0,
eti_quality_score,B,40,1.0,0.0,0.0,0.0
eti_quality_score,C,40,1.0,0.0,0.0,0.0
eti_quality_score,M,40,1.0,0.0,0.0,0.0
eti_quality_score,P,40,1.0,0.0,0.0,0.0
eti_relevance,B,40,1.0,0.0,0.0,0.0
eti_relevance,C,40,1.0,0.0,0.0,0.0
eti_relevance,M,40,1.0,0.0,0.0,0.0
eti_relevance,P,40,1.0,0.0,0.0,0.0
eti_variability,B,40,1.0,0.0,0.0,0.0
eti_variability,C,40,1.0,0.0,0.0,0.0
eti_variability,M,40,1.0,0.0,0.0,0.0
eti_variability,P,40,1.0,0.0,0.0,0.0
faithfulness_ragas,B,40,0.7814808321645629,0.043656565274995895,0.0465367965367966,0.06743729101789475
faithfulness_ragas,C,40,0.750067608875463,0.03087903397499709,0.009489302967563895,0.04609304499618566
faithfulness_ragas,M,40,0.5887719298245615,0.055606072303005696,0.042298340961098455,0.11054566028814908
faithfulness_ragas,P,40,0.7536874444174952,0.04871274508205082,0.032795698924731165,0.06274153512182667
hallucination_deepeval,B,40,0.0,0.0,0.0,0.7359439617751121
hallucination_deepeval,C,40,0.0,0.0,0.0,0.4738017089959694
hallucination_deepeval,M,40,0.0,0.0,0.0,1.083267920578793
hallucination_deepeval,P,40,0.0,0.0,0.0,0.8385254915624213
