variant,trace_id,metric_name,n,mean,median,std,min,max,iqr
B,01844beef57f121669c4e31c01783a96,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,contextual_precision_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,contextual_recall_deepeval,5,0.5714285714285714,0.5714285714285714,0.12436060961771536,0.375,0.7142857142857143,0.0535714285714286
B,01844beef57f121669c4e31c01783a96,contextual_relevancy_deepeval,5,0.6150200488218172,0.6086956521739131,0.0116653594604842,0.6056338028169014,0.6301369863013698,0.01936619718309862
B,01844beef57f121669c4e31c01783a96,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,01844beef57f121669c4e31c01783a96,eti_quality_score,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,eti_relevance,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,eti_variability,5,1.0,1.0,0.0,1.0,1.0,0.0
B,01844beef57f121669c4e31c01783a96,faithfulness_ragas,5,0.125,0.125,0.0,0.125,0.125,0.0
B,01844beef57f121669c4e31c01783a96,hallucination_deepeval,5,0.0,0.0,0.0,0.0,0.0,0.0
B,02625289557fc292eea0c15566396bf3,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,contextual_precision_deepeval,5,0.9559916496035523,0.9868674444712028,0.05080752355982309,0.8711721547663845,0.988581255584312,0.04213965602528924
B,02625289557fc292eea0c15566396bf3,contextual_recall_deepeval,5,0.9272727272727274,1.0,0.16262312563634834,0.6363636363636364,1.0,0.0
B,02625289557fc292eea0c15566396bf3,contextual_relevancy_deepeval,5,0.7395732120299134,0.7425742574257426,0.012833385308378647,0.7245901639344262,0.7573770491803279,0.013517515654086987
B,02625289557fc292eea0c15566396bf3,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,02625289557fc292eea0c15566396bf3,eti_quality_score,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,eti_relevance,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,eti_variability,5,1.0,1.0,0.0,1.0,1.0,0.0
B,02625289557fc292eea0c15566396bf3,faithfulness_ragas,5,0.8,0.8095238095238095,0.02129588549999804,0.7619047619047619,0.8095238095238095,0.0
B,02625289557fc292eea0c15566396bf3,hallucination_deepeval,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,contextual_precision_deepeval,5,0.13231518481518478,0.1674450549450549,0.1250839354955143,0.0,0.2470654345654345,0.2470654345654345
B,0459469e4fe1d231e73d869b3e0650d3,contextual_recall_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,contextual_relevancy_deepeval,5,0.7417361761042942,0.7439024390243902,0.015538777224837418,0.7176470588235294,0.7590361445783133,0.011904761904761862
B,0459469e4fe1d231e73d869b3e0650d3,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,eti_quality_score,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,eti_relevance,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,eti_variability,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0459469e4fe1d231e73d869b3e0650d3,faithfulness_ragas,5,0.6666666666666667,0.7777777777777778,0.21472617870585214,0.2857142857142857,0.7777777777777778,0.06349206349206349
B,0459469e4fe1d231e73d869b3e0650d3,hallucination_deepeval,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,contextual_precision_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,contextual_recall_deepeval,5,0.9800000000000001,1.0,0.04472135954999578,0.9,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,contextual_relevancy_deepeval,5,0.8903002831236748,0.8888888888888888,0.012869371633667859,0.8764044943820225,0.9080459770114944,0.01729249011857703
B,0e1c9a752aac4babe255bf259545e3d7,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,eti_quality_score,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,eti_relevance,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,eti_variability,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0e1c9a752aac4babe255bf259545e3d7,faithfulness_ragas,5,0.8100478468899521,0.7894736842105263,0.032433698239392024,0.7894736842105263,0.8636363636363636,0.028708133971291905
B,0e1c9a752aac4babe255bf259545e3d7,hallucination_deepeval,5,0.01,0.0,0.0223606797749979,0.0,0.05,0.0
B,0ea040cb693a753893feaa255f6b1eac,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,contextual_precision_deepeval,5,0.18556430274797958,0.1852140914640914,0.0019188865118569295,0.1838258999804214,0.1882648107150432,0.0028649116194990887
B,0ea040cb693a753893feaa255f6b1eac,contextual_recall_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,contextual_relevancy_deepeval,4,0.6712270366714335,0.6699029126213591,0.006433674595283017,0.6656151419558359,0.6794871794871795,0.008322378314874812
B,0ea040cb693a753893feaa255f6b1eac,eti_clarity,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,eti_empathy,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,eti_quality_assessment,5,0.0,0.0,0.0,0.0,0.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,eti_quality_score,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,eti_relevance,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,eti_variability,5,1.0,1.0,0.0,1.0,1.0,0.0
B,0ea040cb693a753893feaa255f6b1eac,faithfulness_ragas,5,0.5870733863837312,0.5333333333333333,0.0900431077825384,0.5172413793103449,0.7307692307692307,0.08735632183908049
B,0ea040cb693a753893feaa255f6b1eac,hallucination_deepeval,5,0.0,0.0,0.0,0.0,0.0,0.0
B,160662849f9d906b74376b4e3370a1aa,answer_relevancy_deepeval,5,1.0,1.0,0.0,1.0,1.0,0.0
B,160662849f9d906b74376b4e3370a1aa,contextual_precision_deepeval,5,0.2292929292929292,0.2292929292929292,0.0,0.2292929292929292,0.2292929292929292,0.0
B,160662849f9d906b74376b4e3370a1aa,contextual_recall_deepeval,5,0.8666666666666668,0.8333333333333334,0.07453559924999296,0.8333333333333334,1.0,0.0
