metric,variant,n_items,median_of_per_item_means,median_of_per_item_std,median_of_per_item_iqr,median_cv
answer_relevancy_deepeval,B,10,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,C,10,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,M,10,1.0,0.0,0.0,0.0
answer_relevancy_deepeval,P,10,1.0,0.0,0.0,0.0
claim_count_contradicted,B,10,0.0,,0.0,
claim_count_contradicted,C,10,0.0,0.0,0.0,2.23606797749979
claim_count_covered,B,10,1.5,,0.0,
claim_count_covered,C,10,1.6,0.0,0.0,0.0
claim_count_partial,B,10,5.0,,0.0,
claim_count_partial,C,10,4.833333333333334,0.0,0.0,0.0
claim_count_total,B,10,8.0,,0.0,
claim_count_total,C,10,8.0,0.0,0.0,0.0
claim_coverage,B,10,0.525,,0.0,
claim_coverage,C,10,0.515,0.0,0.0,0.0
contextual_precision_deepeval,B,10,0.7730896324621729,0.026905508762846485,0.01748707410123069,0.06325700720713588
contextual_precision_deepeval,C,10,0.7059255592655262,0.039740347900509426,0.010996636783487786,0.12719082290101108
contextual_precision_deepeval,M,10,0.4982533361540643,0.05963128136540774,0.010743635724232758,0.17181843098914157
contextual_precision_deepeval,P,10,0.6453983646673003,0.04364408215992747,0.03344959283136861,0.15898688035694605
contextual_recall_deepeval,B,10,0.8523809523809524,0.04453072905059385,0.0,0.07213122508063839
contextual_recall_deepeval,C,10,0.8071428571428572,0.03398331396093863,0.016025641025641052,0.08298826628866154
contextual_recall_deepeval,M,10,0.6580534670008353,0.06039385788479241,0.02777777777777779,0.07584773302811652
contextual_recall_deepeval,P,10,0.855952380952381,0.045678533083331,0.0,0.10497277621629555
contextual_relevancy_deepeval,B,10,0.657917640301656,0.012529090420428823,0.015024352548549669,0.019019124631028013
contextual_relevancy_deepeval,C,10,0.6472736730825616,0.01184411523312733,0.007052692362071844,0.018017469816233686
contextual_relevancy_deepeval,M,1,0.8053833500981152,0.01838291375741177,0.02325804297280798,0.022825048165165427
contextual_relevancy_deepeval,P,10,0.6594830613878967,0.01635140315634978,0.01273876625282383,0.026659125326209707
custom_faithfulness,P,10,0.8,0.0,0.0,0.0
eti_clarity,B,10,1.0,0.0,0.0,0.0
eti_clarity,C,10,1.0,0.0,0.0,0.0
eti_clarity,M,10,1.0,0.0,0.0,0.0
eti_clarity,P,10,1.0,0.0,0.0,0.0
eti_empathy,B,10,1.0,0.0,0.0,0.0
eti_empathy,C,10,1.0,0.0,0.0,0.0
eti_empathy,M,10,1.0,0.0,0.0,0.0
eti_empathy,P,10,1.0,0.0,0.0,0.0
eti_quality_assessment,B,10,0.0,0.0,0.0,
eti_quality_assessment,C,10,0.0,0.0,0.0,
eti_quality_assessment,M,10,0.0,0.0,0.0,
eti_quality_assessment,P,10,0.0,0.0,0.0,
eti_quality_score,B,10,1.0,0.0,0.0,0.0
eti_quality_score,C,10,1.0,0.0,0.0,0.0
eti_quality_score,M,10,1.0,0.0,0.0,0.0
eti_quality_score,P,10,1.0,0.0,0.0,0.0
eti_relevance,B,10,1.0,0.0,0.0,0.0
eti_relevance,C,10,1.0,0.0,0.0,0.0
eti_relevance,M,10,1.0,0.0,0.0,0.0
eti_relevance,P,10,1.0,0.0,0.0,0.0
eti_variability,B,10,1.0,0.0,0.0,0.0
eti_variability,C,10,1.0,0.0,0.0,0.0
eti_variability,M,10,1.0,0.0,0.0,0.0
eti_variability,P,10,1.0,0.0,0.0,0.0
faithfulness_ragas,B,10,0.8226160413660413,0.041284013202902856,0.022727272727272707,0.05480161781701584
faithfulness_ragas,C,10,0.8533272283272284,0.09992206295776951,0.0723118279569892,0.11686430028410241
faithfulness_ragas,M,10,0.6875396825396826,0.05250595467223853,0.06417748917748922,0.08339826703559687
faithfulness_ragas,P,10,0.8027597402597403,0.10702052816718863,0.07873376623376616,0.12241805655393388
hallucination_deepeval,B,10,0.0,0.0,0.0,0.02425237369092262
hallucination_deepeval,C,10,0.0,0.0,0.0,0.0
hallucination_deepeval,M,10,0.0,0.0,0.0,
hallucination_deepeval,P,10,0.0,0.0,0.0,0.0
